doc_id,token_num,token_str,term_str,chunk_num
0,0,POPOL,popol,0
0,1,WUJ,wuj,0
1,0,OJER,ojer,0
1,1,TAQ,taq,0
1,2,TZIJ,tzij,0
2,0,XB'AN,xb'an,0
2,1,PA,pa,0
2,2,TINAMIT,tinamit,0
2,3,"K'ICHE',",k'iche',0
3,0,RAMAQ',ramaq',0
3,1,K'ICHE',k'iche',0
3,2,WINAQ,winaq,0
5,0,Versión,versión,0
5,1,crítica,crítica,0
5,2,y,y,0
5,3,actualizada,actualizada,0
6,0,Ajtz'ib'ab',ajtz'ib'ab',0
7,0,Nab'e,nab'e,0
8,0,Are',are',0
8,1,uxe',uxe',0
8,2,ojer,ojer,0
8,3,tzij,tzij,0
8,4,waral,waral,0
8,5,K'iche',k'iche',0
8,6,ub'i'.,ub'i',0
9,0,Waral,waral,0
9,1,xchiqatz'ib'aj,xchiqatz'ib'aj,0
9,2,wi,wi,0
10,0,xchiqatikib'a',xchiqatikib'a',0
10,1,wi,wi,0
10,2,ojer,ojer,0
10,3,tzij,tzij,0
11,0,utikarib'al,utikarib'al,0
11,1,uxe'nab'al,uxe'nab'al,0
11,2,puch,puch,0
12,0,ronojel,ronojel,0
12,1,xb'an,xb'an,0
12,2,pa,pa,0
12,3,tinamit,tinamit,0
12,4,K'iche',k'iche',0
13,0,ramaq',ramaq',0
13,1,K'iche',k'iche',0
13,2,winaq,winaq,0
14,0,are,are,0
14,1,k'ut,k'ut,0
14,2,xchiqak'am,xchiqak'am,0
14,3,wi,wi,0
15,0,uk'utunisaxik,uk'utunisaxik,0
15,1,uq'alajob'isaxik,uq'alajob'isaxik,0
15,2,utzijoxik,utzijoxik,0
15,3,puch,puch,0
16,0,ewaxib'al,ewaxib'al,0
16,1,saqirib'al,saqirib'al,0
16,2,rumal,rumal,0
16,3,tz'aqol,tz'aqol,0
16,4,b'itol,b'itol,0
17,0,alom,alom,0
17,1,k'ajolom,k'ajolom,0
18,0,Jun,jun,0
18,1,Ajpu,ajpu,0
18,2,"Wuch',",wuch',0
18,3,Jun,jun,0
18,4,Ajpu,ajpu,0
18,5,Utiw,utiw,0
19,0,Saqinim,saqinim,0
19,1,"Aq,",aq,0
19,2,Saqinim,saqinim,0
19,3,"Tzis,",tzis,0
20,0,Tepew,tepew,0
20,1,Q'ukumatz,q'ukumatz,0
21,0,uk'u'x,uk'u'x,0
21,1,cho,cho,0
21,2,uk'u'x,uk'u'x,0
21,3,palo,palo,0
22,0,ajraxalaq,ajraxalaq,0
22,1,ajraxatzel,ajraxatzel,0
23,0,chuchaxik,chuchaxik,0
23,1,rachb'ixik,rachb'ixik,0
23,2,rachtzijoxik,rachtzijoxik,0
23,3,ri,ri,0
23,4,iyom,iyom,0
23,5,mamon,mamon,0
24,0,Xpiyakok,xpiyakok,0
24,1,Xmukane,xmukane,0
24,2,ub'i',ub'i',0
25,0,matzanel,matzanel,0
25,1,"ch'uqunel,",ch'uqunel,0
26,0,kamul,kamul,0
26,1,iyom,iyom,0
26,2,kamul,kamul,0
26,3,mamom,mamom,0
26,4,chuchaxik,chuchaxik,0
26,5,pa,pa,0
26,6,K'iche',k'iche',0
26,7,tzij.,tzij,0
27,0,Ta,ta,0
27,1,xkitzijoj,xkitzijoj,0
27,2,ronojel,ronojel,0
28,0,ruk',ruk',0
28,1,xkib'an,xkib'an,0
28,2,chik,chik,0
29,0,chi,chi,0
29,1,saqil,saqil,0
29,2,k'olem,k'olem,0
29,3,saqil,saqil,0
29,4,tzij,tzij,0
30,0,wa'e,wa'e,0
30,1,xchiqatz'ib'aj,xchiqatz'ib'aj,0
30,2,chupan,chupan,0
30,3,chik,chik,0
30,4,uch'ab'al,uch'ab'al,0
30,5,dios,dios,0
31,0,pa,pa,0
31,1,kristyano'il,kristyano'il,0
31,2,chik,chik,0
32,0,xchiqelesaj,xchiqelesaj,0
33,0,rumal,rumal,0
33,1,maja,maja,0
33,2,b'i,b'i,0
33,3,chik,chik,0
33,4,ilb'al,ilb'al,0
33,5,re,re,0
33,6,Popo,popo,0
33,7,Wuj.,wuj,0
34,0,Ilb'al,ilb'al,0
34,1,saq,saq,0
34,2,petenaq,petenaq,0
34,3,ch'aqa,ch'aqa,0
34,4,palo.,palo,0
35,0,Utzijoxik,utzijoxik,0
35,1,qamujib'al,qamujib'al,0
36,0,ilb'al,ilb'al,0
36,1,saq,saq,0
36,2,k'aslem,k'aslem,0
36,3,chuchaxik.,chuchaxik,0
37,0,K'o,k'o,0
37,1,nab'e,nab'e,0
37,2,wujil,wujil,0
37,3,ojer,ojer,0
37,4,tz'ib'am,tz'ib'am,0
37,5,puch,puch,0
38,0,xa,xa,0
38,1,ewal,ewal,0
38,2,uwach,uwach,0
38,3,ilol,ilol,0
38,4,re,re,0
38,5,b'isol,b'isol,0
38,6,re,re,0
39,0,nim,nim,0
39,1,upeyoxik,upeyoxik,0
39,2,utzijoxik,utzijoxik,0
39,3,puch,puch,0
40,0,ta,ta,0
40,1,chik'istz'uk,chik'istz'uk,0
40,2,ronojel,ronojel,0
40,3,kaj,kaj,0
40,4,ulew,ulew,0
41,0,ukaj,ukaj,0
41,1,tz'ukuxik,tz'ukuxik,0
41,2,ukaj,ukaj,0
41,3,xukutaxik,xukutaxik,0
42,0,retaxik,retaxik,0
42,1,ukaj,ukaj,0
42,2,che'xik,che'xik,0
43,0,umej,umej,0
43,1,k'a'maxik,k'a'maxik,0
43,2,uyuq,uyuq,0
43,3,k'a'maxik,k'a'maxik,0
43,4,upa,upa,0
43,5,kaj,kaj,0
43,6,upa,upa,0
43,7,ulew,ulew,0
44,0,kajtz'uk,kajtz'uk,0
44,1,kajxukut,kajxukut,0
44,2,chucha'xik,chucha'xik,0
45,0,rumal,rumal,0
45,1,tz'aqol,tz'aqol,0
45,2,b'itol,b'itol,0
46,0,uchuch,uchuch,0
46,1,uqajaw,uqajaw,0
46,2,k'aslem,k'aslem,0
46,3,winaqirem,winaqirem,0
46,4,ab'anel,ab'anel,0
46,5,k'u'xlanel,k'u'xlanel,0
47,0,alay,alay,0
47,1,rech,rech,0
47,2,k'u'xla'y,k'u'xla'y,0
